archive_id,filepath,width,height,aspect_ratio,exif_orientation,face_hint_degrees,status
queerhana-atlantis-flyer-all,atlantis-flyer-all.jpg,600,1489,0.403,,"0,90,180,270",needs eyes (missing or invalid EXIF orientation)
queerhana-haritz-aali,Haritz/Haritz_aali.jpg,800,533,1.501,1,,already normal
queerhana-tupim-haritz,Haritz/Tupim_Haritz.jpg,1500,1000,1.5,1,,already normal
queerhana-facial,Haritz/facial.JPG,1600,1200,1.333,0,"0,90,180,270",needs eyes (missing or invalid EXIF orientation)
queerhana-shana-pizoz1,Haritz/shana pizoz1.jpg,450,338,1.331,,"0,90",needs eyes (missing or invalid EXIF orientation)
queerhana-dsc-4334,queerhana 2005/DSC_4334.JPG,2240,1488,1.505,8,,auto-correctable
queerhana-dsc-4338,queerhana 2005/DSC_4338.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4341,queerhana 2005/DSC_4341.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4345,queerhana 2005/DSC_4345.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4346,queerhana 2005/DSC_4346.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4348,queerhana 2005/DSC_4348.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4349,queerhana 2005/DSC_4349.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4352,queerhana 2005/DSC_4352.JPG,2240,1488,1.505,8,,auto-correctable
queerhana-dsc-4354,queerhana 2005/DSC_4354.JPG,2240,1488,1.505,6,,auto-correctable
queerhana-dsc-4356,queerhana 2005/DSC_4356.JPG,2240,1488,1.505,6,,auto-correctable
queerhana-dsc-4358,queerhana 2005/DSC_4358.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4360,queerhana 2005/DSC_4360.JPG,2240,1488,1.505,6,,auto-correctable
queerhana-dsc-4362,queerhana 2005/DSC_4362.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4373,queerhana 2005/DSC_4373.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4374,queerhana 2005/DSC_4374.JPG,2240,1488,1.505,1,,already normal
queerhana-dsc-4375,queerhana 2005/DSC_4375.JPG,2240,1488,1.505,8,,auto-correctable
queerhana-dsc-4377,queerhana 2005/DSC_4377.JPG,2240,1488,1.505,1,,already normal
