archive_id,field,approved_csv_value,ia_value
queerhana-atlantis-flyer-all,event,,down to the atlantis queerhana
queerhana-dsc-3149a,description,"Eleven people pose on a rooftop at night against a lit city skyline, each with the head covered by a decorated box, bag or screen. Legible lettering includes “GAY IS DEAD”, “QUIER” and “QUIEER”, several boxes carry a smiling face over crossed bones, and one carries a circled anarchy symbol; a bouquet and a walking frame stand at the front.","Eleven people pose on a rooftop at night against a lit city skyline, heads covered by decorated shopping bags. Legible lettering includes “GAY IS DEAD”, “QUIER” and “QUIEER”, several bags carry a smiling face over crossed bones, and one carries a circled anarchy symbol; a bouquet and a walking frame stand at the front."
queerhana-dsc-3152,title,rooftop group holding printed boards,rooftop group with faces uncovered
queerhana-dsc-3152,description,"Eleven people pose on a rooftop at night against a lit city skyline, several holding decorated boards and bags in front of the body rather than over the head. Legible lettering includes “GAY IS DEAD” and “QUIER”, and several boards carry a smiling face over crossed bones.","Eleven people pose on a rooftop at night against a lit city skyline with faces uncovered, holding the decorated shopping bags in front of the body. Legible lettering includes “GAY IS DEAD” and “QUIER”, and several bags carry a smiling face over crossed bones."
queerhana-dsc-4334,location,,Ramat Gan/Jarisha
queerhana-dsc-4338,location,,Ramat Gan/Jarisha
queerhana-dsc-4341,location,,Ramat Gan/Jarisha
queerhana-dsc-4345,location,,Ramat Gan/Jarisha
queerhana-dsc-4346,location,,Ramat Gan/Jarisha
queerhana-dsc-4348,location,,Ramat Gan/Jarisha
queerhana-dsc-4349,location,,Ramat Gan/Jarisha
queerhana-dsc-4352,location,,Ramat Gan/Jarisha
queerhana-dsc-4354,location,,Ramat Gan/Jarisha
queerhana-dsc-4356,location,,Ramat Gan/Jarisha
queerhana-dsc-4358,location,,Ramat Gan/Jarisha
queerhana-dsc-4360,location,,Ramat Gan/Jarisha
queerhana-dsc-4362,location,,Ramat Gan/Jarisha
queerhana-dsc-4373,location,,Ramat Gan/Jarisha
queerhana-dsc-4374,location,,Ramat Gan/Jarisha
queerhana-dsc-4375,location,,Ramat Gan/Jarisha
queerhana-dsc-4377,location,,Ramat Gan/Jarisha
queerhana-dsc-4380,location,,Ramat Gan/Jarisha
queerhana-dsc-4382,location,,Ramat Gan/Jarisha
queerhana-dsc-4383,location,,Ramat Gan/Jarisha
queerhana-dsc-4385,location,,Ramat Gan/Jarisha
queerhana-dsc-4388,location,,Ramat Gan/Jarisha
queerhana-dsc-4390,location,,Ramat Gan/Jarisha
queerhana-dsc-4391,location,,Ramat Gan/Jarisha
queerhana-dsc-4392,location,,Ramat Gan/Jarisha
queerhana-dsc-4393,location,,Ramat Gan/Jarisha
queerhana-dsc-4398,location,,Ramat Gan/Jarisha
queerhana-dsc-4399,location,,Ramat Gan/Jarisha
queerhana-dsc-4400,location,,Ramat Gan/Jarisha
queerhana-dsc-4404,location,,Ramat Gan/Jarisha
queerhana-dsc-4406,location,,Ramat Gan/Jarisha
queerhana-dsc-4407,location,,Ramat Gan/Jarisha
queerhana-dsc-4408,location,,Ramat Gan/Jarisha
queerhana-dsc-4412,location,,Ramat Gan/Jarisha
queerhana-dsc-4414,location,,Ramat Gan/Jarisha
queerhana-dsc-4421,location,,Ramat Gan/Jarisha
queerhana-dsc-4422,location,,Ramat Gan/Jarisha
queerhana-dsc-4426,location,,Ramat Gan/Jarisha
queerhana-dsc-4427,location,,Ramat Gan/Jarisha
queerhana-dsc-4432,location,,Ramat Gan/Jarisha
queerhana-dscf3602,event,,"allenbeach reclaim the streets action, 15-18 march 2003"
queerhana-dscn6163,title,decks set up beside a pink van,DJ Bosco at the decks beside a pink van
queerhana-haritz-aali,description,"Three people stand at the front of a stage, one holding a microphone with a raised hand, with a fourth playing a violin behind them. Large Hebrew letters projected on the backdrop are cropped and not legible; the image carries an “Activestills.org” watermark.","Three people stand at the front of a stage, one holding a microphone with a raised hand, with a fourth playing a violin behind them. Large Hebrew letters projected on the backdrop are cropped and not legible; the image carries an ""Activestills.org"" watermark."
queerhana-haritz-aali,event,"haritz parties, february 2009",haritz parties
queerhana-haritz-aali,location,,Tel Aviv-Yaffo
queerhana-haritz-aali,rights_owner,third party,Orr Guilat
queerhana-haritz-loop-2,event,,haritz parties
queerhana-haritz-loop-2,location,,Tel Aviv-Yaffo
queerhana-haritz-loop-2,rights_owner,archive,Orr Guilat
queerhana-i8,event,,"this is a free zone, ngbk berlin, 2017"
queerhana-i9,event,,"this is a free zone, ngbk berlin, 2017"
queerhana-qh-inv,cc_license,all rights reserved,
queerhana-shana-pizoz1,event,,haritz parties
queerhana-tupim-haritz,event,"haritz parties, december 2008",haritz parties
